03:32:39pm	10.10.128.61	63
03:26:14pm	10.10.128.70	70
03:23:56pm	10.10.128.63	67
03:20:54pm	10.10.128.61	63
03:11:26pm	10.10.128.63	67
03:10:14pm	10.10.128.60	62
03:08:25pm	10.10.128.60	62
03:05:53pm	10.10.128.60	62
03:04:40pm	10.10.128.60	62
03:04:39pm	10.10.128.61	63
03:04:39pm	10.10.128.61	63
03:03:29pm	10.10.128.60	62
03:03:07pm	10.10.128.70	70
03:02:22pm	10.10.128.61	63
03:02:22pm	10.10.128.61	63
03:02:14pm	10.10.128.60	62
03:01:46pm	10.10.128.69	69
02:57:01pm	10.10.128.63	67
02:56:57pm	10.10.128.69	69
02:56:43pm	10.10.128.69	69
02:56:27pm	10.10.128.70	70
02:55:07pm	10.10.128.62	64
02:45:47pm	10.10.128.63	67
02:43:48pm	10.10.128.61	63
02:34:24pm	10.10.128.69	69
02:34:24pm	10.10.128.69	69
02:34:06pm	10.10.128.61	63
02:29:28pm	10.10.128.62	64
02:23:13pm	10.10.128.61	63
02:18:32pm	10.10.128.69	69
02:18:05pm	10.10.128.61	63
02:16:15pm	10.10.128.60	62
02:16:14pm	10.10.128.61	62
02:14:46pm	10.10.128.60	62
02:11:03pm	10.10.128.60	62
02:04:17pm	10.10.128.69	69
02:02:34pm	10.10.128.60	62
02:00:36pm	10.10.128.61	62
02:00:00pm	10.10.128.63	67
01:57:41pm	10.10.128.60	62
01:56:27pm	10.10.128.60	62
01:56:15pm	10.10.128.61	62
01:53:40pm	10.10.128.61	62
01:52:14pm	10.10.128.61	62
01:51:05pm	10.10.128.63	67
01:49:55pm	10.10.128.69	69
01:48:52pm	10.10.128.61	62
01:47:45pm	10.10.128.61	62
01:43:48pm	10.10.128.63	67
01:37:08pm	10.10.128.69	69
01:34:58pm	10.10.128.66	66
01:33:08pm	10.10.128.63	67
01:32:38pm	10.10.128.62	64
01:31:22pm	10.10.128.61	62
01:30:59pm	10.10.128.66	66
01:30:03pm	10.10.128.61	62
01:28:50pm	10.10.128.69	69
01:28:50pm	10.10.128.69	69
01:27:29pm	10.10.128.63	67
01:24:29pm	10.10.128.61	62
01:22:22pm	10.10.128.69	69
01:20:30pm	10.10.128.61	62
01:18:41pm	10.10.128.70	70
01:18:04pm	10.10.128.61	62
01:18:04pm	10.10.128.61	62
01:10:21pm	10.10.128.61	62
01:09:08pm	10.10.128.60	62
01:06:12pm	10.10.128.61	63
01:02:16pm	10.10.128.61	63
01:02:16pm	10.10.128.61	63
01:00:46pm	10.10.128.62	64
01:00:45pm	10.10.128.70	70
12:55:38pm	10.10.128.60	62
12:54:36pm	10.10.128.61	63
12:54:36pm	10.10.128.61	63
12:49:54pm	10.10.128.63	67
12:49:05pm	10.10.128.69	69
12:40:28pm	10.10.128.69	69
12:37:17pm	10.10.128.63	67
12:36:54pm	10.10.128.60	62
12:32:42pm	10.10.128.60	62
12:30:51pm	10.10.128.61	63
12:30:51pm	10.10.128.61	63
12:30:08pm	10.10.128.63	67
12:29:03pm	10.10.128.61	63
12:25:54pm	10.10.128.61	63
12:25:54pm	10.10.128.61	63
12:25:45pm	10.10.128.60	62
12:25:18pm	10.10.128.63	67
12:22:39pm	10.10.128.63	67
12:18:26pm	10.10.128.69	69
12:18:26pm	10.10.128.69	69
12:11:29pm	10.10.128.62	64
12:10:50pm	10.10.128.60	62
12:09:53pm	10.10.128.69	69
12:04:57pm	10.10.128.61	63
12:04:57pm	10.10.128.61	63
12:02:04pm	10.10.128.63	67
12:01:09pm	10.10.128.66	66
12:01:03pm	10.10.128.61	63
12:01:03pm	10.10.128.61	63
11:57:51am	10.10.128.69	69
11:57:51am	10.10.128.69	69
11:55:50am	10.10.128.61	63
11:55:50am	10.10.128.61	63
11:52:20am	10.10.128.61	63
11:49:02am	10.10.128.61	63
11:48:36am	10.10.128.69	69
11:47:49am	10.10.128.63	67
11:47:48am	10.10.128.61	63
11:45:26am	10.10.128.61	63
11:42:42am	10.10.128.61	63
11:42:42am	10.10.128.61	63
11:41:16am	10.10.128.61	63
11:36:05am	10.10.128.68	68
11:35:00am	10.10.128.61	63
11:31:16am	10.10.128.61	63
11:31:16am	10.10.128.61	63
